Title,Price
ACEMAGIC Laptop Computer Intel N97 Windows Laptop 15.6-in 16GB DDR4 512GB SSD Ordinateur Portable Numeric Keypad WiFi5 HDMI Type-C USB3.2 TRRS Webcam Office Laptops Student Laptops,649..99
"AOC 2025 Laptop, Intel Quad-Core Processor 12th Alder Lake N97(Up to 3.6GHz) 16GB RAM 512GB SSD 15.6 Inch FHD Screen Premium Laptop Windows 11 Pro, Metal Shell, Type-C, WiFi, Bluetooth",699..99
"OTVOC Laptop 16 inch, Windows 11 Pro, 12th-gen N95, Quad Core, Up to 3.4GHz, 16GB DDR5 RAM, 1TB PCIe NVME SSD, 16"" FHD IPS 1920x1200, 2.0MP, 2.4G+5G WiFi, BT 5.0, HDMI, RJ45, Type C, Gray",464..99
"HP 15.6"" FHD Laptop, Intel i3-N305, 16GB DDR4, 1.16TB Storage(1TB SSD+160GB Docking Station Set), Intel UHD Graphics, Numeric Keypad, HD Camera, Fingerprint Reader, Wi-Fi 6, Windows 11 Pro, Silver",829..00
"15.6 Inch Laptop with Office 365, 4GB RAM, 128GB Storage Expandable 1TB, 5205U Processor, HD Display, Windows 11 Laptops Computer, Wi-Fi 5, BT4.2, Numpad, Type-C, for Business and Students.",799..99
"jumper 16 Inch Laptop, 16GB RAM 512GB SSD, 2.9GHz Celeron N5095, 1200p FHD IPS Screen, Windows 11 Laptops Computer with 2.4G/5G WiFi, 4 Stereo Speakers, Cooling System.","1,299..66"
"jumper Laptop, 12GB RAM 640GB ROM, 5305U Processor, Windows 11 Computer with Office 365 1-Year Subscription, 15.6 Inch FHD IPS Display, 38Wh Battery, 2 Stereo Speakers, USB3.0 * 2, HDMI.",429..99
"14"" Laptop Win 11 256GB SSD Up to 1TB SSD Expand Celeron N4020 Up to 2.8Ghz Dual-Core Processor 6GB DDR4 1920x1080 FHD Dual WiFi BT4.2 with Webcam Keyboard Protect Flim for Business-Silver",289..99
15.6 inch Laptop - 16GB RAM LPDDR4 512GB SSD Laptop Computer FHD Ordinateur Portable Laptop PC Celeron N5095 Processor Business Laptop with Touch ID WiFi5 Bluetooth 4.2 USB 3.0,319..99
"Laptop, 17.3 inch Laptops Computer, 8GB RAM 512GB SSD ordinateur Portable with Celeron N4020 Processor, Win 11 Home, 2xUSB 3.0, Type-C, Mini HDMI(Gray)",389..98
"jumper Laptop, 16 Inch FHD IPS 1200p Screen, Quad Core CPU, 4GB LPDDR4 RAM 128GB ROM, Office 365 1-Year Subscription, Windows 11 Computer with Numeric Keypad, 4 Stereo Speakers, WiFi.",329..99
"Acer Aspire Go 15 AG15-31P-31C1-CA, 15.6"" FHD, Intel Core i3-N305 Processor, 8GB DDR5, 512GB SSD, Windows 11",449..99
"Lenovo 100E Chromebook 2ND Gen Laptop Computer, 4GB RAM, 64GB eMMC TLC SSD 11.6"" HD (1366 X 768) Display, MediaTek MT8173C Processor Windows 10, GX6250, Chrome OS, Black (Renewed)",112..00
"jumper Laptop, 12GB LPDDR4 RAM, 256GB SSD ROM, 14 Inch 1080p FHD IPS Screen, Windows 11 Laptops Computer with Celeron 4-Core Processor, UHD Graphics 600, 2 Stereo Speaker, Lightweight, Portable.",329..99
"Naclud Laptops, 17.3 Inch Laptop Computer with Core i3 Processor, 4GB DDR3 128GB SSD ordinateur Portable, Win 11 Notebooks, Expandable 1TB, 60800mWh Battery, Type-C, WiFi 5, Webcam, HDMI, USB3.2",339..99
"Gateway (by Acer) Chromebook Laptop | 14"" FHD 1920x1080 | TN Chromebook | Intel Celeron N4500 | 4GB LPDDR4X RAM | 64GB eMMC | Chrome OS | CBO314-1H-C3AX",286..60
"HP Premium 14"" Stream HD Laptop, Intel Celeron N4120, 4GB RAM, 64GB eMMC, Webcam, Intel UHD Graphics, Bluetooth, WiFi, HDMI, 1 Year Office 365, Win 11s, Silver",289..00
"Acer Aspire 3 A315-24P-R7VH, 15.6"" FHD 1920x1080 Laptop, AMD Ryzen 3 7320U, Radeon Graphics, 8GB RAM, 128G SSD, Windows 11 in S Mode",514..99
"ASUS Chromebook CX1, 17.3"" Full HD NanoEdge Display, Intel Celeron N4500 Processor, 128GB eMMC Storage, 8GB RAM, ChromeOS, CX1700CKA-DS01-CB",299..00
"Lenovo 14E Chromebook 81MH0006US 14"" Chromebook - 1920 X 1080 - A-Series A4-9120 - 4 GB RAM - 32 GB Flash Memory - Chrome OS - AMD Radeon R3 Graphics - English (US) (Renewed)",95..90
"15.6 Inch Laptops, Laptop with Celeron Quad-Core, 20GB RAM 128GB EMMC+1024GB SSD Ordinateur Portable, Windows 11 Home, WiFi 6, USB 3.2, HDMI, Type-C, 180° Open Angle, 7000mAh(Gray)",459..99
"Naclud Laptops, 17.3 Inch Laptop Computer with Core i3 Processor, 4GB DDR3 128GB SSD ordinateur Portable, Win 11 Notebooks, Expandable 1TB, 60800mWh Battery, Type-C, WiFi 5, Webcam, HDMI, USB3.2",339..99
"Laptop, 17.3 inch Laptops Computer, 8GB RAM 512GB SSD ordinateur Portable with Celeron N4020 Processor, Win 11 Home, 2xUSB 3.0, Type-C, Mini HDMI(Gray)",389..98
"Lenovo V15 Gen 4 Business Laptop, 15.6"" FHD Screen, 13th Gen Intel 10 Cores i7-1355U up to 5.0GHz, 40GB RAM, 1TB PCIe SSD, HD Camera with Privacy Shutter, Wi-Fi, HDMI, Windows 11 Pro, Black","1,259..00"
"Acer Chromebook Laptop | 15.6"" Full HD Display | Intel Celeron N4500 Processor | 8GB LPDDR4X, 64GB eMMC | ChromeOS | Silver | CB315-4H-C8Y8-CA",399..99
"HP Premium Stream 14"" HD BrightView Laptop, Intel Celeron N4120, 16GB RAM, 352GB Storage(64GB eMMC+288GB Docking Station Set), Intel UHD Graphics, Webcam, 1 Year Office 365, WiFi, HDMI, Win 11s, White",419..00
"11.6"" Laptop Touchscreen 360° Foldable Laptop PC 6GB RAM 128GB SSD FHD Display Laptop Computer Celeron N4020 with 256GB SD Card Dual Band WiFi Bluetooth 4.2 USB 3.0 * 1 HDMI*1 for Office Study Silver",299..00
"ASUS Vivobook Go 12 L210 11.6” Ultra-Thin Laptop, Intel Celeron N4500, 4GB RAM, 64GB eMMC, Windows 11 Home in S Mode Includes 1 Year of Office 365 Personal, L210KA-AS01-CA",325..00
"HP 15 inch Laptop, HD Display, Intel Processor N100, 4 GB RAM, 128 GB UFS, Intel UHD Graphics, Windows 11 Home in S Mode, 15-fd0000ca",368..00
"2025 Newest Laptop Computer, 17.3 Inch Laptop with N97 Processor(Up to 3.6GHz), HD Display, Notebook Computer 16GB RAM 512GB SSD Work Laptop Windows 11 Laptop, HDMI, WiFi, Bluetooth, Type-C, Webcam",549..99
"ASUS 14.0"" FHD Laptop - Intel Celeron N4500, 4GB RAM, 64GB eMMC, Windows 11 S Mode (with Microfiber Cloth) - Star Black (E410KA-CL464)",229..00
"DELL Latitude 3189 Intel Pentium N4200 (1.1 GHz) 4 GB Memory 128 GB SSD Intel HD Graphics 505 11.6"" Touchscreen 1366 x 768 Convertible 2-in-1 Laptop Windows 10 Pro 64-Bit (Renewed)",149..00
"Dell Latitude 3190 2-in-1 Intel Pentium - Pentium-N5000 - Quad Core 2.7Ghz (11.6 inches, 128GB SSD - 4GB RAM)-1366x768 HD Touchscreen - Windows 10 Pro (Renewed)",129..90
"ASUS Vivobook Go 15 Laptop, 15.6” FHD Display, Intel® Core™ i3-N305 Processor, 4GB RAM, 128GB UFS, Windows 11 Home in S Mode, E1504GA-AS32-CA",484..97
"15.6"" Laptop PC 16GB DDR4 512GB SSD, HD Laptop Computer AMD Ryzen 5 3500U Processor AMD Integrated Graphics Laptop with Touch ID 2.4/5G WiFi Bluetooth 2xUSB 3.0 for Students/Office/Gaming",549..00
Dell Chromebook 3100 Intel N4020 4GB 16GB Chrome OS 11.6 inch Gray (Renewed),89..90
"HP 15.6"" HD Business Laptop, Intel Pentium N200 Processor, 16GB RAM, 128GB SSD, Intel UHD Graphics, Full Size Keyboard, HD Webcam, WiFi 5, 1 Year Office 365, Win 11, Scarlet Red, 32GB Hotface USB Card",499..00
"Acer Aspire 1 Slim Laptop 15.6"" Full HD Screen | 4GB ddr4 ram | 64GB eMMC | Intel N4500 CPU | Windows 11 S Mode(1 yr Manufacturer Warranty) (Renewed)",249..00
"Dell Latitude 7280 Intel Core i5-6300U X2 2.4GHz 16GB 256GB SSD 12.5"", Black (Certified Refurbished)",268..00
"Dell G15 5530 Gaming Laptop, Intel 24-Core i9-13900HX, 15.6"" FHD 165Hz Display, NVIDIA GeForce RTX 4060 8GB GDDR6, 32GB DDR5 1TB SSD, 4-Zone RGB Backlit, WiFi 6, RJ-45, HDMI 2.1, Win11 Pro","2,284..77"
"Lenovo IdeaPad 1 15.6"" HD Laptop, Intel Pentium Silver N6000, 20GB RAM, 1.16TB Storage (1TB SSD+160GB Docking Station Set), Intel UHD Graphics, 1 Year Office 365, Num Pad, HD Camera, Win 11 S, Gray",599..00
"Lenovo Ideapad 3i 15.6"" FHD IPS Touchscreen Laptop, Intel i3-1115G4, 40GB RAM, 1TB PCIe SSD, Intel UHD Graphics, Numeric Keypad, HD Webcam, Wi-Fi 6, Windows 11, Gray, 32GB USB Card",697..00
"Lenovo IdeaPad Slim 3 15.6"" FHD Touchscreen Laptop, AMD Ryzen 7 7730U, 16GB DDR4, 2.16TB Storage(2TB SSD + 160GB Docking Station Set), Backlit Keyboard, Wi-Fi 6, Dolby Audio, Win 11 Pro, Blue","1,099..00"
"15.6"" Laptop Computer with Processor(Up to 3.6GHz), 16GB RAM 512GB SSD Laptop, Windows 11 Pro Traditional Laptops with FHD Screen, Webcam, Light&Thin, HDMI, Type-C, USB3.2",419..99
"ACEMAGIC 2025 Laptop AMD Ryzen 7 5825U (8C/16T), 15.6“FHD Display,16GB RAM 512GB NVMe SSD, WiFi 6, Backlit Keyboard, Type_C, 53Wh Battery | Windows 11 Laptop Computer for Work & Play",849..99
"AOC 2025 Laptop, Intel Quad-Core Processor 12th Alder Lake N97(Up to 3.6GHz) 16GB RAM 512GB SSD 15.6 Inch FHD Screen Premium Laptop Windows 11 Pro, Metal Shell, Type-C, WiFi, Bluetooth",699..99
"2025 Newest Laptop, 15.6 Inch Laptop Computer with N150 Processor(Up to 3.6GHz), HD Display, 16GB RAM 512GB SSD Work Laptop Windows 11 Laptop, HDMI, WiFi, Bluetooth, Type-C, Webcam",479..99
"ASUS TUF Gaming A15 Gaming Laptop, 15.6” 144Hz FHD Display, AMD Ryzen™ 5 7535HS Processor, GeForce RTX 2050, 8GB DDR5 RAM, 512GB PCIe SSD Gen 4, Wi-Fi 6, Windows 11, FA506NF-AS51-CA",949..00
"ASUS Chromebook CX1 Laptop, 15.6"" Full HD NanoEdge Display, Intel Celeron N450, 128GB eMMC Storage, 8GB RAM, ChromeOS, CX1500CKA-BH01-CB",449..00
"Laptop 14"" 6GB+256GB SSD Celeron N4020 Up to 2.8 GHz Win 11 Laptop Support 512GB TF 1TB SSD Expand Notebook with 1920 * 1080 FHD 5G WiFi BT 4.2 Webcam Cooling Fan-Gray",295..99
"Acer Swift Go SFG16-72-9055 Laptop, 16"" 3.2K OLED Display, Intel Core Ultra 9 185H Processor, UMA Graphics, 16GB LPDDR5X, 1TB SSD, Microsoft Windows 11 Home","1,680..50"
"Lenovo Thinkpad T470 14 inches Full HD Business Laptop Computer, Intel Core i5-6200U, 16GB RAM, 512GB SSD, Thunderbolt, Type-C, HDMI, RJ-45, Windows 10 Pro (Renewed)",279..90
"HP 15.6 inch Laptop, AMD Ryzen 5 7520U Processor, 16 GB RAM LPDDR5, 512 GB SSD, AMD Radeon Graphics, FHD (1920 x 1080) IPS, HP True Vision HD camera with privacy shutter, Windows 11 Home (15-fc0006ca)",899..00
"Acer Aspire 3 A315-59-56K8, 15.6"" FHD 1920x1080 Laptop, Intel Core i5-1235U Processor, 8GB DDR4 RAM, 512GB SSD, Windows 11",699..99
"Acer Aspire 3 Laptop 15.6"" Full HD Display | AMD Ryzen 7 5700U CPU | 16GB DDR4 | 1TB SSD | Windows 11 Home (1 Yr Manufacturer Warranty) (Renewed)",579..00
"Lenovo ThinkPad T480 14” FHD Business Laptop Computer, Intel Core i5-8350U 1.7GHz, 16GB RAM, 512GB SSD, HDMI, Webcam, SD Card Reader, Windows 10 Pro 64Bit(Renewed)",336..00
"N4020-win11 G-Anica Laptop Computer, Laptop, 8GB+128GB, Intel Celeron Dual core Processors, 10"" Laptops, Bluetooth WiFi Webcam HDMI, and Laptop Bag,Mouse, Mouse Pad, Headphone",249..99
"Lenovo Yoga 7i 2-in-1 16"" 2K Touchscreen Laptop, Intel Ultra 5 125U, 16GB LPDDR5X, 1.28TB Storage(1TB SSD +288GB Docking Station Set), Backlit Keyboard, Fingerprint Reader, WiFi 6E, Win 11 Pro, Grey","1,229..00"
"Lenovo ThinkPad L13 Yoga 2-in-1 Laptop 13.3"" Touchscreen FHD IPS Intel Core i5-1145G7 16GB RAM 256GB SSD with Pen, Fingerprint, HDMI Cable,Win10 Pro(Renewed)",525..99
